Record_Index,Provider_First_Name,Provider_Last_Name,Original_Practice_Name,Matching_Status,Matched_Practice_Name,Similarity_Score,Matched_NPI,Matched_Column,Associated_Provider,City,State,NPI-1_From_API,NPI-2_From_API
32,MATTHEW,GORDON,CARSON TAHOE PHYSICIAN CLINICS,Matched (Fuzzy),"CLINCH VALLEY PHYSICIANS ASSOCIATES, LLC",73,,medical group,,,,1265591382.0,1013297423.0
33,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
34,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
35,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
36,RICHARD,BRYAN,SAINT MARYS MEDICAL GROUP INC.,Matched (Fuzzy),"LA Star Medical Group, Inc",81,1801015599.0,CompanyName,,Bellflower,CA,1366428120.0,1861757577.0
37,JAMES,PLOTNIK,PHOENIX CHILDREN'S HOSPITAL,Matched (Fuzzy),Phoenix Childrens Hospital,94,1932366549.0,Secondary Hospital Affiliation,Wai,Washington,DC,1013907716.0,1760480503.0
38,ABRAHAM,SAYEGH,,No Practice Name,,0,,,,,,1033140744.0,
39,GEORGE,STOUFFER,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1003994286.0,1801054762.0
40,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
41,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
42,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
43,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
44,STEVEN,CONDRON,COMMUNITY CARE SERVICES LLC,Matched (Fuzzy),COMMUNITY CARE RESOURCES INC,84,,medical group,,,,1043423536.0,1396467999.0
45,SRILAKSHMI,SETTIPALLI,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,Matched (Fuzzy),NORTHERN APACHE COUNTY SPECIAL HEALTH CARE DISTRICT,78,,medical group,,,,1023305786.0,1003233180.0
46,MOHAMED,RADWAN,LA JOLLA PULMONARY AND CRITICAL CARE INC.,Matched (Fuzzy),MIDLANDS PULMONARY AND CRITICAL CARE,83,,medical group,,,,1194499202.0,1912076365.0
47,SAM,FEREIDOUNI,MEDCUBED PLLC,Matched (Fuzzy),LECMED PLLC,75,,medical group,,,,1003007048.0,1366854861.0
48,DIMITRIOS,DIAMANDIDIS,THE ONCOLOGY INSTITUTE OF HOPE AND INNOVATION,Not Matched,,0,,,,,,1063457737.0,1285472886.0
49,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
50,REBECCA,MATRO,"SCRIPPS CLINIC MEDICAL GROUP, INC",Matched (Fuzzy),Pros Medical Clinic Inc,76,1750491908.0,CompanyName,,Montclair,CA,1043484405.0,1205959574.0
51,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
52,SANDRA,OVIEDO,CAREMORE HEALTH PLAN OF NEVADA,Not Matched,,0,,,,,,1285144394.0,1770950255.0
53,SUNGCHUN,LEE,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1033112818.0,1013198837.0
54,,CARILION ROANOKE MEMORIAL HOSPITAL,CARILION MEDICAL CENTER,Matched (Fuzzy),MEDICAL CARE CENTER,86,,medical group,,,,,1114399276.0
55,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
56,TODD,HERMAN,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1063788875.0,1487900817.0
57,STEVEN,SIEGEL,"CANCER SPECIALISTS, LLC",Matched (Fuzzy),US NEURO SPECIALISTS PLLC,81,,medical group,,,,1588637391.0,1851656607.0
58,CHRISTINE,FUNKE,SOUTHWESTERN EYE CENTER LTD,Matched (Fuzzy),Southwest Health Center,80,1750305629.0,Primary Hospital Affiliation,Lucas,Platteville,WI,1063703734.0,1932140894.0
59,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
60,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
61,TIMOTHY,DO,"JACKSONVILLE MULTISPECIALTY SERVICES, LLC",Matched (Fuzzy),Curson Multi-Specialty,70,1871594648.0,CompanyName,,Los Angeles,CA,1962161281.0,1427298363.0
62,JENNIFER,EDWARDS,"NORTHERN NEVADA HIV OUTPATIENT PROGRAM, EDUCATION AND SERVICES",Not Matched,,0,,,,,,1033453303.0,1659792810.0
63,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
64,ERIC,CHEN,,No Practice Name,,0,,,,,,1174227896.0,
65,RAHUL,SHARMA,JOSEPH A CAPLAN MD PC,Matched (Fuzzy),JOSEPH G ABDO MD PC,75,,medical group,,,,1063675288.0,1649389156.0
66,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
67,JULIE,HILARIO,ROLANDO ANIA MD PROF LLC,Not Matched,,0,,,,,,,1740913011.0
68,LEO,CAPOBIANCO,DOCTORS CENTER AT REDROCK,Matched (Fuzzy),THE DOCTORS CENTER,74,,medical group,,,,1063483097.0,
69,JEROMY,BRINK,ARIZONA ADVANCED SURGERY LLC,Matched (Fuzzy),"ADVANCED URGENT CARE, LLC",77,,medical group,,,,1003876269.0,1346880838.0
70,HENRY,IGID,ALLISON CURTIS KINGSLEY MEOZ MICHAEL & SANCHEZ PC,Not Matched,,0,,,,,,1003182106.0,1598770471.0
71,BARBARA,LEVARGE,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1043477425.0,1801054762.0
72,ROBERT,ORR,PHOENIX MEDICAL GROUP PC,Matched (Fuzzy),"PHOENIX MEDICAL GROUP, PC",100,,medical group,,,,1700841749.0,1063661023.0
73,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
74,KATHRYN,BATES,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,1962557470.0,1659696821.0
75,,SARASOTA MEMORIAL HOSPITAL - VENICE,SARASOTA COUNTY PUBLIC HOSPITAL DISTRICT,Matched (Fuzzy),PARKER COUNTY HOSPITAL DISTRICT,79,,medical group,,,,,1396458204.0
76,JOHNICE,BARAJAS,"PIMA HEART PHYSICIANS, PC",Matched (Fuzzy),"HEALTHSTAR PHYSICIANS, PC",75,,medical group,,,,1063808467.0,1821851684.0
77,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
78,GINA,BATES,BATES FAMILY PRACTICE PLLC,Matched (Fuzzy),AMA FAMILY PRACTICE PLLC,88,,medical group,,,,1568827491.0,1336734946.0
79,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
80,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
81,ROBERT,ORR,PHOENIX MEDICAL GROUP PC,Matched (Fuzzy),"PHOENIX MEDICAL GROUP, PC",100,,medical group,,,,1700841749.0,1063661023.0
82,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
83,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
84,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
85,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
86,TIMOTHY,DO,"JACKSONVILLE MULTISPECIALTY SERVICES, LLC",Matched (Fuzzy),Curson Multi-Specialty,70,1871594648.0,CompanyName,,Los Angeles,CA,1962161281.0,1427298363.0
87,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
88,MIA,MCCALLUM-CRAWFORD,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1043675325.0,1134628480.0
89,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
90,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
91,DEREK,GLAZIER,UROLOGY NEVADA LTD,Matched (Exact),UROLOGY NEVADA LTD,100,,medical group,,,,1043731771.0,1316162795.0
92,SHANNON,ZAMBONI,"DRS O'GARA, CAPURRO, & ZAMBONI, ET AL RALSTON MEDICAL LTD",Not Matched,,0,,,,,,1023005303.0,1881670313.0
93,RAFAEL,MEDRANO,"LAS PALMAS DEL SOL CARDIOLOGY, PLLC",Not Matched,,0,,,,,,1457151821.0,1255690046.0
94,MICHAEL,WESTAFER,,No Practice Name,,0,,,,,,1033473913.0,
95,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
96,JAY,MAHAJAN,CAREMORE HEALTH PLAN OF NEVADA,Not Matched,,0,,,,,,1053632992.0,1770950255.0
97,VIKRAM,KAPUR,,No Practice Name,,0,,,,,,1063466647.0,
98,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
99,KATHRYN,BATES,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,1962557470.0,1659696821.0
100,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
101,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
102,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
103,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
104,JAMES,RULA,ARIZONA ADVANCED SURGERY LLC,Matched (Fuzzy),"ADVANCED URGENT CARE, LLC",77,,medical group,,,,1053317180.0,1346880838.0
105,BARBARA,LEVARGE,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1043477425.0,1801054762.0
106,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
107,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
108,KATHRYN,BATES,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,1962557470.0,1659696821.0
109,LOAN,NGUYEN,"TRI-CITY CARDIOLOGY CONSULTANTS, PC",Matched (Fuzzy),"PREMIER CARDIOLOGY CONSULTANTS, PLLC",81,,medical group,,,,1831650407.0,1689417636.0
110,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
111,SAM,FEREIDOUNI,MEDCUBED PLLC,Matched (Fuzzy),LECMED PLLC,75,,medical group,,,,1003007048.0,1366854861.0
112,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
113,HENRY,IGID,ALLISON CURTIS KINGSLEY MEOZ MICHAEL & SANCHEZ PC,Not Matched,,0,,,,,,1003182106.0,1598770471.0
114,MINH,PHAM,CHATHAM HOSPITAL INC,Matched (Exact),Chatham Hospital,100,1538233192.0,Secondary Hospital Affiliation,Guerra,Raleigh,NC,1801665591.0,1770789752.0
115,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
116,ROSANNA,NICOLETTI,SUMMIT MEDICAL GROUP ARIZONA LLC,Matched (Exact),"SUMMIT MEDICAL GROUP ARIZONA, LLC",100,,medical group,,,,1013927607.0,1053810622.0
117,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
118,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
119,LEO,GERMIN,INNOTIV GERMIN,Not Matched,,0,,,,,,1013928886.0,1225101330.0
120,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
121,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
122,QUANG,NGUYEN,QUANG NGUYEN DO PLLC,Matched (Fuzzy),"Thang P. Nguyen, MD",76,1992729933.0,CompanyName,,Los Angeles,CA,1063778769.0,1558615716.0
123,HENRY,IGID,ALLISON CURTIS KINGSLEY MEOZ MICHAEL & SANCHEZ PC,Not Matched,,0,,,,,,1003182106.0,1598770471.0
124,LAUREN,ELLER,"BAY AREA FOOT CARE, INC",Matched (Exact),"BAY AREA FOOT CARE, INC",100,,medical group,,,,1366277683.0,1942904107.0
125,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
126,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
127,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
128,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
129,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
130,VIKRAM,KAPUR,,No Practice Name,,0,,,,,,1063466647.0,
131,TODD,HERMAN,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1063788875.0,1487900817.0
132,HEATHER,HARTSHORN,REX HOSPITAL INC,Matched (Fuzzy),Pinnacle Hospital,79,1891893731.0,Secondary Hospital Affiliation,Bleza,Bluffton,IN,1003016163.0,1508197344.0
133,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
134,REBECCA,MATRO,"SCRIPPS CLINIC MEDICAL GROUP, INC",Matched (Fuzzy),Pros Medical Clinic Inc,76,1750491908.0,CompanyName,,Montclair,CA,1043484405.0,1205959574.0
135,JODI,ANTONELLI,"PRIVATE DIAGNOSTIC CLINIC, PLLC",Matched (Fuzzy),SHIFA PEDIATRIC CLINIC PLLC,74,,medical group,,,,1023283017.0,1649757568.0
136,ALVARO,DEVIA,GOMEZ KOZAR MCELREATH AND SMITH PROFESSIONAL CORPORATION,Matched (Fuzzy),INAMDAR AND SHETH PROFESSIONAL MEDICAL CORPORATION,75,,medical group,,,,1063402477.0,1760409783.0
137,NAGA NALINI,TIRUMALASETTY,HEALTHY LIVING DIABETES AND ENDOCRINOLOGY PLC,Matched (Fuzzy),"DIABETES AND ENDOCRINOLOGY OF SNELLVILLE, LLC",78,,medical group,,,,1003168840.0,1689157166.0
138,MICHAEL,STUMPF,MICHAEL JOSEPH PLLC,Matched (Fuzzy),"JOIYEN MEDICAL, PLLC",74,,medical group,,,,1699815704.0,1033684741.0
139,EILEEN,CHANG,EAST VALLEY FAMILY PHYSICIANS PLC,Matched (Fuzzy),ASHLEY VALLEY PHYSICIAN PRACTICES LLC,73,,medical group,,,,1376746644.0,1629270160.0
140,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
141,VIKRAM,KAPUR,,No Practice Name,,0,,,,,,1063466647.0,
142,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
143,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
144,MICHAEL,WESTAFER,,No Practice Name,,0,,,,,,1033473913.0,
145,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
146,MICHAEL,WESTAFER,,No Practice Name,,0,,,,,,1033473913.0,
147,ROBERT,ORR,PHOENIX MEDICAL GROUP PC,Matched (Fuzzy),"PHOENIX MEDICAL GROUP, PC",100,,medical group,,,,1700841749.0,1063661023.0
148,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
149,ERIC,CHEN,,No Practice Name,,0,,,,,,1174227896.0,
150,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
151,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
152,ABRAHAM,SAYEGH,,No Practice Name,,0,,,,,,1033140744.0,
153,EDWARD,QUINLAN,RETINAL CONSULTANTS OF ARIZONA LTD,Matched (Fuzzy),CALIFORNIA ORBITAL CONSULTANTS INC.,72,,medical group,,,,1053358978.0,1700823051.0
154,KATHRYN,BATES,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,1962557470.0,1659696821.0
155,,UNICOI COUNTY HOSPITAL,MOUNTAIN STATES HEALTH ALLIANCE,Matched (Fuzzy),Alliance Mental Health,75,1780328229.0,CompanyName,,Raymond,NH,,1073064333.0
156,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
